# source	target	keep_as_is	confidence	notes
Organization Owner	組織オーナー	false	high	bold, ngram-2 | 12 section(s)
Project Admin	プロジェクト管理者	false	high	bold, ngram-2 | 10 section(s)
Cluster Details	クラスターの詳細	false	high	bold, ngram-2 | 4 section(s)
Strong	Strong	true	high	bold, backtick | 4 section(s)
Bucket Name	バケット名	false	high	bold | 4 section(s)
Function	Function	true	high	bold, backtick | 4 section(s)
Auto-scaling	オートスケーリング	false	high	bold | 4 section(s)
Cloud Provider	クラウドプロバイダー	false	high	bold, ngram-2 | 4 section(s)
Free	Free	true	high	bold | 3 section(s)
Serverless	Serverless	true	high	bold | 3 section(s)
Data Plane	データプレーン	false	high	bold, ngram-2 | 3 section(s)
AWS PrivateLink	AWS PrivateLink	true	high	bold, ngram-2 | 3 section(s)
Business Critical	ビジネスクリティカル	false	high	bold, ngram-2 | 3 section(s)
Organization Billing Admin	組織の請求管理者	false	high	bold, ngram-3 | 3 section(s)
Resource Settings	リソース設定	false	high	bold | 3 section(s)
Initial Project Size	初期プロジェクトサイズ	false	high	bold, ngram-3 | 3 section(s)
General Settings	一般設定	false	high	bold | 3 section(s)
Technical Support Access	テクニカルサポートアクセス	false	high	bold, ngram-3 | 3 section(s)
Unit Price	単価	false	high	bold, ngram-2 | 2 section(s)
Dedicated	Dedicated	true	high	bold | 2 section(s)
Cluster Settings	クラスター設定	false	high	bold | 2 section(s)
Cluster Type	クラスタータイプ	false	high	bold, ngram-2 | 2 section(s)
Bounded Staleness	Bounded Staleness	true	high	bold | 2 section(s)
Session	Session	true	high	bold, backtick | 2 section(s)
Eventually	Eventually	true	high	bold, backtick | 2 section(s)
API Key	APIキー	false	high	bold, ngram-2 | 2 section(s)
inverted index	転置インデックス	false	high	bold | 2 section(s)
Cosine Similarity	コサイン類似度	false	high	bold | 2 section(s)
Euclidean Distance	ユークリッド距離	false	high	bold | 2 section(s)
Inner Product	内積	false	high	bold, ngram-2 | 2 section(s)
MinHash signatures	MinHashシグネチャ	false	high	bold | 2 section(s)
Tokenizer	トークナイザー	false	high	bold | 2 section(s)
Filters	フィルター	false	high	bold | 2 section(s)
JSON path	JSONパス	false	high	bold | 2 section(s)
JSON indexing	JSONインデックス	false	high	bold | 2 section(s)
full-text search	全文検索	false	high	bold | 2 section(s)
Improved Query Performance	クエリパフォーマンスの向上	false	high	bold, ngram-3 | 2 section(s)
Primary field	プライマリフィールド	false	high	bold | 2 section(s)
Text field	テキストフィールド	false	high	bold | 2 section(s)
Sparse vector field	スパースベクトルフィールド	false	high	bold | 2 section(s)
sparse vectors	疎ベクトル	false	high	bold | 2 section(s)
Projects	プロジェクト	false	high	bold | 2 section(s)
Partition Key	パーティションキー	false	high	bold, ngram-2 | 2 section(s)
Billing Overview	請求概要	false	high	bold, ngram-2 | 2 section(s)
API Keys	APIキー	false	high	bold, ngram-2 | 2 section(s)
not supported	サポートされていません	false	high	bold | 2 section(s)
In Progress	進行中	false	high	bold, ngram-2 | 2 section(s)
Successful	成功	false	high	bold | 2 section(s)
Organization Member	組織メンバー	false	high	bold, ngram-2 | 2 section(s)
Account ID	アカウントID	false	high	bold, ngram-2 | 2 section(s)
Organization Owners	組織オーナー	false	high	bold, ngram-2 | 2 section(s)
Bucket name	バケット名	false	high	bold | 2 section(s)
Policy editor	ポリシーエディター	false	high	bold | 2 section(s)
Custom trust policy	カスタム信頼ポリシー	false	high	bold | 2 section(s)
Permissions policies	権限ポリシー	false	high	bold | 2 section(s)
Name, review, and create	名前を付けて確認し、作成	false	high	bold | 2 section(s)
Service Name	サービス名	false	high	bold | 2 section(s)
Service Account Name	サービスアカウント名	false	high	bold | 2 section(s)
Location type	ロケーションタイプ	false	high	bold | 2 section(s)
Project Read-Write	プロジェクト読み書き	false	high	bold | 2 section(s)
Project Read-Only	プロジェクト読み取り専用	false	high	bold | 2 section(s)
Control Plane	コントロールプレーン	false	high	bold, ngram-2 | 2 section(s)
Subnet IDs	サブネットID	false	high	bold | 2 section(s)
Subnets	サブネット	false	high	bold | 2 section(s)
Endpoint ID	エンドポイントID	false	high	bold, ngram-2 | 2 section(s)
Subnet	サブネット	false	high	bold | 2 section(s)
Published service	公開済みサービス	false	high	bold | 2 section(s)
VPC Name	VPC名	false	high	bold | 2 section(s)
Storage settings	ストレージ設定	false	high	bold | 2 section(s)
Project Name	プロジェクト名	false	high	bold | 2 section(s)
Credential Settings	認証情報設定	false	high	bold | 2 section(s)
Cross-Account Settings	クロスアカウント設定	false	high	bold | 2 section(s)
Network Settings	ネットワーク設定	false	high	bold, ngram-2 | 2 section(s)
Deployment Summary	デプロイ概要	false	high	bold | 2 section(s)
project admin	プロジェクト管理者	false	high	bold | 1 section(s)
organization owner	組織オーナー	false	high	bold | 1 section(s)
custom role	カスタムロール	false	high	bold | 1 section(s)
Excluded from backup	バックアップから除外	false	high	bold | 1 section(s)
Cluster shard settings	クラスターシャード設定	false	high	bold | 1 section(s)
Original Backup File Size	元のバックアップファイルサイズ	false	high	bold | 1 section(s)
manually create backups	手動でバックアップを作成する	false	high	bold | 1 section(s)
automatic backups	自動バックアップ	false	high	bold | 1 section(s)
Integration Configuration	統合設定	false	high	bold | 1 section(s)
Manual backups	手動バックアップ	false	high	bold | 1 section(s)
Automatic backups	自動バックアップ	false	high	bold | 1 section(s)
new cluster	新しいクラスター	false	high	bold | 1 section(s)
entire cluster	クラスター全体	false	high	bold | 1 section(s)
disabled by default	デフォルトで無効	false	high	bold | 1 section(s)
Cluster Name	クラスター名	false	high	bold | 1 section(s)
Global Cluster	グローバルクラスター	false	high	bold, ngram-2 | 1 section(s)
Global Topology	グローバルトポロジー	false	high	bold | 1 section(s)
global endpoint	グローバルエンドポイント	false	high	bold | 1 section(s)
