manual,source_file,source_title,source_token,source_slug,source_doc_url,source_block_url,block_id,json_path,source_type,link_text,target_token,target_url,anchor,candidate_rank,candidate_score,candidate_title,candidate_slug,candidate_doc_token,candidate_doc_link,candidate_record_id,candidate_table_name,recommended_action
guides,A33MwQX84iXyQNkzopece3oenye.json,Managed Volumes,A33MwQX84iXyQNkzopece3oenye,managed-volume,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye#IQR3ddJv9ohBZTxtCk8caPHInof,IQR3ddJv9ohBZTxtCk8caPHInof,$.blocks.items[179].bullet.elements[1].mention_doc,mention_doc,Storage Cost,Uj3wwkysGiBhfqk8jsMckyiTnBb,https://zilliverse.feishu.cn/wiki/Uj3wwkysGiBhfqk8jsMckyiTnBb,,1,100,Storage Cost,storage-cost,PNj2w5fY9ifr82kbX8ucKgXAn0r,https://zilliverse.feishu.cn/wiki/PNj2w5fY9ifr82kbX8ucKgXAn0r,recvlW2tk3N880,Management,"Replace the mention_doc with a new Feishu document mention for ""Storage Cost"" (https://zilliverse.feishu.cn/wiki/PNj2w5fY9ifr82kbX8ucKgXAn0r)."
guides,A33MwQX84iXyQNkzopece3oenye.json,Managed Volumes,A33MwQX84iXyQNkzopece3oenye,managed-volume,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye#IQR3ddJv9ohBZTxtCk8caPHInof,IQR3ddJv9ohBZTxtCk8caPHInof,$.blocks.items[179].bullet.elements[1].mention_doc,mention_doc,Storage Cost,Uj3wwkysGiBhfqk8jsMckyiTnBb,https://zilliverse.feishu.cn/wiki/Uj3wwkysGiBhfqk8jsMckyiTnBb,,2,55,Storage Request Cost,storage-request-cost,YMYFwJhUuibUTxkJ1lTcNVSxnhg,https://zilliverse.feishu.cn/wiki/YMYFwJhUuibUTxkJ1lTcNVSxnhg,recvlW2vwEKKSL,Management,"Replace the mention_doc with a new Feishu document mention for ""Storage Cost"" (https://zilliverse.feishu.cn/wiki/PNj2w5fY9ifr82kbX8ucKgXAn0r)."
guides,A33MwQX84iXyQNkzopece3oenye.json,Managed Volumes,A33MwQX84iXyQNkzopece3oenye,managed-volume,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye#KXpYdQaHyoHZvyxGlY4c26Hxnwd,KXpYdQaHyoHZvyxGlY4c26Hxnwd,$.blocks.items[204].text.elements[1].text_run.text_element_style.link,href_link,invoices,VSykwZb3his5JFk2BxycdiADnbh,https://zilliverse.feishu.cn/wiki/VSykwZb3his5JFk2BxycdiADnbh,,1,86,Manage Invoices,manage-invoice,A3YdwRQwoiDLfkkPbwOcEOr3nLe,https://zilliverse.feishu.cn/wiki/A3YdwRQwoiDLfkkPbwOcEOr3nLe,recvlW1HTEKqMX,Management,Edit the hyperlink URL to https://zilliverse.feishu.cn/wiki/A3YdwRQwoiDLfkkPbwOcEOr3nLe.
guides,A33MwQX84iXyQNkzopece3oenye.json,Managed Volumes,A33MwQX84iXyQNkzopece3oenye,managed-volume,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye,https://zilliverse.feishu.cn/wiki/A33MwQX84iXyQNkzopece3oenye#KXpYdQaHyoHZvyxGlY4c26Hxnwd,KXpYdQaHyoHZvyxGlY4c26Hxnwd,$.blocks.items[204].text.elements[1].text_run.text_element_style.link,href_link,invoices,VSykwZb3his5JFk2BxycdiADnbh,https://zilliverse.feishu.cn/wiki/VSykwZb3his5JFk2BxycdiADnbh,,2,86,Understand Invoices,view-invoice,PBEbwjRu9iyyaFkZnuzcINHCnke,https://zilliverse.feishu.cn/wiki/PBEbwjRu9iyyaFkZnuzcINHCnke,recvlW1GbozHzN,Management,Edit the hyperlink URL to https://zilliverse.feishu.cn/wiki/A3YdwRQwoiDLfkkPbwOcEOr3nLe.
guides,A5lpwIZcZiTLqakdt6rcCmPcnEe.json,"Release Notes (Dec 11, 2023)",A5lpwIZcZiTLqakdt6rcCmPcnEe,release-notes-240,https://zilliverse.feishu.cn/wiki/A5lpwIZcZiTLqakdt6rcCmPcnEe,https://zilliverse.feishu.cn/wiki/A5lpwIZcZiTLqakdt6rcCmPcnEe#IiQAdqZUcoSqpLxEJ4KcrGECnPg,IiQAdqZUcoSqpLxEJ4KcrGECnPg,$.blocks.items[13].text.elements[3].text_run.text_element_style.link,href_link,documentation,UEFXwAUL4icMjMkUej9cqncJncd,https://zilliverse.feishu.cn/wiki/UEFXwAUL4icMjMkUej9cqncJncd,,,,,,,,,,"Choose a canonical Base-listed replacement, then update the Feishu source manually."
guides,AAqUwQW3qia3akkjfDNc0kwanlh.json,Manage Organization Settings,AAqUwQW3qia3akkjfDNc0kwanlh,organization-settings,https://zilliverse.feishu.cn/wiki/AAqUwQW3qia3akkjfDNc0kwanlh,https://zilliverse.feishu.cn/wiki/AAqUwQW3qia3akkjfDNc0kwanlh#MD6IdOvZhoFXkfxt2VBcK8JGnbg,MD6IdOvZhoFXkfxt2VBcK8JGnbg,$.blocks.items[54].bullet.elements[1].text_run.text_element_style.link,href_link,bills,VSykwZb3his5JFk2BxycdiADnbh,https://zilliverse.feishu.cn/wiki/VSykwZb3his5JFk2BxycdiADnbh,,,,,,,,,,"Choose a canonical Base-listed replacement, then update the Feishu source manually."
guides,AAqUwQW3qia3akkjfDNc0kwanlh.json,Manage Organization Settings,AAqUwQW3qia3akkjfDNc0kwanlh,organization-settings,https://zilliverse.feishu.cn/wiki/AAqUwQW3qia3akkjfDNc0kwanlh,https://zilliverse.feishu.cn/wiki/AAqUwQW3qia3akkjfDNc0kwanlh#IGZydu8e6os0p1xRqK7cL1G0nKh,IGZydu8e6os0p1xRqK7cL1G0nKh,$.blocks.items[59].bullet.elements[1].text_run.text_element_style.link,href_link,marketplace subscription needs to be cancelled,QIc3w79ZKigOO0kKLpOctbLKn9g,https://zilliverse.feishu.cn/wiki/QIc3w79ZKigOO0kKLpOctbLKn9g,,1,86,Marketplace Subscription,,OFjswbvuoit64pk5eGqc9Yx3nGg,https://zilliverse.feishu.cn/wiki/OFjswbvuoit64pk5eGqc9Yx3nGg,recvlW22dFcBHg,Management,Edit the hyperlink URL to https://zilliverse.feishu.cn/wiki/OFjswbvuoit64pk5eGqc9Yx3nGg.
guides,AICcwQ55yiNqEPkjdV6cb2i8nqe.json,Global Cluster Explained,AICcwQ55yiNqEPkjdV6cb2i8nqe,global-cluster-explained,https://zilliverse.feishu.cn/wiki/AICcwQ55yiNqEPkjdV6cb2i8nqe,https://zilliverse.feishu.cn/wiki/AICcwQ55yiNqEPkjdV6cb2i8nqe#ZMEtdKrFao6ksux9AircV121nDc,ZMEtdKrFao6ksux9AircV121nDc,$.blocks.items[28].text.elements[1].text_run.text_element_style.link,href_link,Dedicated clusters,MA5TwtCG9imviYkzvFAc5LJynCb,https://zilliverse.feishu.cn/wiki/MA5TwtCG9imviYkzvFAc5LJynCb,,1,86,Dedicated Cluster Cost,dedicated-cluster-cost,J2prwh2KLis9oqkqNIAcU1d6nsd,https://zilliverse.feishu.cn/wiki/J2prwh2KLis9oqkqNIAcU1d6nsd,recvlW2pQmq3dU,Management,Edit the hyperlink URL to https://zilliverse.feishu.cn/wiki/J2prwh2KLis9oqkqNIAcU1d6nsd.
guides,AICcwQ55yiNqEPkjdV6cb2i8nqe.json,Global Cluster Explained,AICcwQ55yiNqEPkjdV6cb2i8nqe,global-cluster-explained,https://zilliverse.feishu.cn/wiki/AICcwQ55yiNqEPkjdV6cb2i8nqe,https://zilliverse.feishu.cn/wiki/AICcwQ55yiNqEPkjdV6cb2i8nqe#ZMEtdKrFao6ksux9AircV121nDc,ZMEtdKrFao6ksux9AircV121nDc,$.blocks.items[28].text.elements[3].text_run.text_element_style.link,href_link,data transfer,JNtPwA2dnioj5Fk7N1WcW5k9nMB,https://zilliverse.feishu.cn/wiki/JNtPwA2dnioj5Fk7N1WcW5k9nMB,,1,100,Data Transfer Cost,data-transfer-cost,BClgwKlHaiushBkPPssclTkYnef,https://zilliverse.feishu.cn/wiki/BClgwKlHaiushBkPPssclTkYnef,recvlW2xuZnpJa,Management,Edit the hyperlink URL to https://zilliverse.feishu.cn/wiki/BClgwKlHaiushBkPPssclTkYnef.
guides,B1cSwfWcri4VJLkCR20cHIs6nCf.json,Integrate with Model Providers,B1cSwfWcri4VJLkCR20cHIs6nCf,integrate-with-model-providers,https://zilliverse.feishu.cn/wiki/B1cSwfWcri4VJLkCR20cHIs6nCf,https://zilliverse.feishu.cn/wiki/B1cSwfWcri4VJLkCR20cHIs6nCf#SBJPdiBGGoU0LpxqFdwcosLKnib,SBJPdiBGGoU0LpxqFdwcosLKnib,$.blocks.items[14].bullet.elements[2].mention_doc,mention_doc,Data Transfer Cost,JNtPwA2dnioj5Fk7N1WcW5k9nMB,https://zilliverse.feishu.cn/wiki/JNtPwA2dnioj5Fk7N1WcW5k9nMB,,1,100,Data Transfer Cost,data-transfer-cost,BClgwKlHaiushBkPPssclTkYnef,https://zilliverse.feishu.cn/wiki/BClgwKlHaiushBkPPssclTkYnef,recvlW2xuZnpJa,Management,"Replace the mention_doc with a new Feishu document mention for ""Data Transfer Cost"" (https://zilliverse.feishu.cn/wiki/BClgwKlHaiushBkPPssclTkYnef)."
